event_name,event_hrefs,athlete_href,athlete_sb,athlete_pb,first_name,last_name,birthdate,country
400m Hurdles Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=a9701d16-c36e-4020-9bb3-87bf39071022&eventStart=2019-06-30T13%3A03%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=f1ad5ce2597430faea5cd4a133de7d8e,https://eugene.diamondleague.com/athletes/14536351.html,,48.30,TJ,HOLMES,02/07/1995,United States
Women's High Jump,https://eugene.diamondleague.com/program-results-eugene/?eventId=b73e0eb1-e86d-4931-b9ce-a974ad596212&eventStart=2019-06-30T13%3A08%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=63de9b666260d0549886f11f08a1c722,https://eugene.diamondleague.com/athletes/14298324.html,,2.06,Mariya,LASITSKENE,14/01/1993,Authorised Neutral Athlete
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14714407.html,,8:58.78,Celliphine,Chepteek,23/03/1999,Kenya
Men's 110m Hurdles,https://eugene.diamondleague.com/program-results-eugene/?eventId=e87d1c18-303e-4db0-8d13-240d6830a244&eventStart=2019-06-30T13%3A56%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=7b653be65ac37bc6d1d104c4efa997a5,https://eugene.diamondleague.com/athletes/14435592.html,13.29,12.90,Omar,MCLEOD,25/04/1994,Jamaica
Men's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=8920797e-5521-44f0-9895-2b8e0665762a&eventStart=2019-06-30T14%3A01%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=5f745b6ea2fd80fc2df950449e29142d,https://eugene.diamondleague.com/athletes/14463877.html,,22.44,Darrell,HILL,17/08/1993,United States
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14259874.html,8:26.20,8:26.20,Genzebe,DIBABA,08/02/1991,Ethiopia
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14522335.html,4:04.06,4:03.39,Alexa,EFRAIMSON,20/02/1997,United States
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14467155.html,,3:55.12,Craig,ENGELS,01/05/1994,United States
Men's Pole Vault,https://eugene.diamondleague.com/program-results-eugene/?eventId=c700459c-f559-488f-a766-128570f30f4f&eventStart=2019-06-30T12%3A43%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=ef32501303dcb117daec34708fc1ed6b,https://eugene.diamondleague.com/athletes/14426447.html,,5.94,Piotr,LISEK,16/08/1992,Poland
Women's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=093d68c3-8a54-4c9d-958a-a403fdcdf3d2&eventStart=2019-06-30T12%3A57%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a529dc7eb1ddc4eb97986373c5432f37,https://eugene.diamondleague.com/athletes/14266426.html,19.18,20.43,Lijiao,GONG,24/01/1989,PR of China
400m Hurdles Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=a9701d16-c36e-4020-9bb3-87bf39071022&eventStart=2019-06-30T13%3A03%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=f1ad5ce2597430faea5cd4a133de7d8e,https://eugene.diamondleague.com/athletes/14373195.html,,48.40,Rasmus,MÃGI,04/05/1992,Estonia
Women's High Jump,https://eugene.diamondleague.com/program-results-eugene/?eventId=b73e0eb1-e86d-4931-b9ce-a974ad596212&eventStart=2019-06-30T13%3A08%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=63de9b666260d0549886f11f08a1c722,https://eugene.diamondleague.com/athletes/14594836.html,,2.01,Yuliya,LEVCHENKO,28/11/1997,Ukraine
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14307810.html,,9:02.58,Emma,COBURN,19/10/1990,United States
Men's 110m Hurdles,https://eugene.diamondleague.com/program-results-eugene/?eventId=e87d1c18-303e-4db0-8d13-240d6830a244&eventStart=2019-06-30T13%3A56%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=7b653be65ac37bc6d1d104c4efa997a5,https://eugene.diamondleague.com/athletes/14325570.html,,12.94,Hansle,PARCHMENT,17/06/1990,Jamaica
Men's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=8920797e-5521-44f0-9895-2b8e0665762a&eventStart=2019-06-30T14%3A01%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=5f745b6ea2fd80fc2df950449e29142d,https://eugene.diamondleague.com/athletes/14243308.html,,22.57,Joe,KOVACS,28/06/1989,United States
Women's 3000m,https://eugene.diamondleague.com/program-results-eugene/?eventId=0eac18db-536e-47a8-b377-569ee0ac09b5&eventStart=2019-06-30T14%3A05%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=0a1bb0331dc5cdee36f255e5a909f754,https://eugene.diamondleague.com/athletes/14654918.html,,8:30.96,Letesenbet,GIDEY,20/03/1998,Ethiopia
1500m Women,https://eugene.diamondleague.com/program-results-eugene/?eventId=91d0b332-c710-407f-8d2d-43d807a6660f&eventStart=2019-06-30T14%3A31%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=61fe6ebf258bd52fd015338f6145ca6b,https://eugene.diamondleague.com/athletes/14534819.html,4:00.17,4:00.17,Axumawit,EMBAYE,18/10/1994,Ethiopia
1 Mile Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=b432fc9b-21ba-4da9-83fc-22e0d2759c35&eventStart=2019-06-30T14%3A51%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=d761e7ca991594da561a98e6791a1e1c,https://eugene.diamondleague.com/athletes/14509722.html,,3:54.53,John,GREGOREK,07/12/1991,United States
Men's Pole Vault,https://eugene.diamondleague.com/program-results-eugene/?eventId=c700459c-f559-488f-a766-128570f30f4f&eventStart=2019-06-30T12%3A43%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=ef32501303dcb117daec34708fc1ed6b,https://eugene.diamondleague.com/athletes/14565327.html,5.81,5.81,Kurtis,MARSCHALL,25/04/1997,Australia
Women's Shot Put,https://eugene.diamondleague.com/program-results-eugene/?eventId=093d68c3-8a54-4c9d-958a-a403fdcdf3d2&eventStart=2019-06-30T12%3A57%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a529dc7eb1ddc4eb97986373c5432f37,https://eugene.diamondleague.com/athletes/14282022.html,17.85,19.87,Anita,MÃRTON,15/01/1989,Hungary
400m Hurdles Men,https://eugene.diamondleague.com/program-results-eugene/?eventId=a9701d16-c36e-4020-9bb3-87bf39071022&eventStart=2019-06-30T13%3A03%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=f1ad5ce2597430faea5cd4a133de7d8e,https://eugene.diamondleague.com/athletes/14532760.html,,47.54,Kyron,MCMASTER,03/01/1997,British Virgin Islands
Women's High Jump,https://eugene.diamondleague.com/program-results-eugene/?eventId=b73e0eb1-e86d-4931-b9ce-a974ad596212&eventStart=2019-06-30T13%3A08%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=63de9b666260d0549886f11f08a1c722,https://eugene.diamondleague.com/athletes/14739628.html,,1.95,Yaroslava,MAHUCHIKH,19/09/2001,Ukraine
Women's 3000m Steeplechase,https://eugene.diamondleague.com/program-results-eugene/?eventId=63fa7fea-e8c6-47b2-8083-8477ab65c9f6&eventStart=2019-06-30T13%3A11%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=a21bd3a93df24138df88c9ac84993e30,https://eugene.diamondleague.com/athletes/14507523.html,,9:00.85,Courtney,FRERICHS,18/01/1993,United States
Men's 110m Hurdles,https://eugene.diamondleague.com/program-results-eugene/?eventId=e87d1c18-303e-4db0-8d13-240d6830a244&eventStart=2019-06-30T13%3A56%3A00-07%3A00&tx_diamondrace_diamondleaguestatistics%5Baction%5D=showEntries&tx_diamondrace_diamondleaguestatistics%5Bcontroller%5D=DiamondLeagueStatistics&cHash=7b653be65ac37bc6d1d104c4efa997a5,https://eugene.diamondleague.com/athletes/287120.html,,12.92,Sergey,SHUBENKOV,04/10/1990,Authorised Neutral Athlete
